date,province,infs,rts
2020-05-02,KZN,230,1.15
2020-05-03,KZN,235,1.14
2020-05-04,KZN,240,1.12
2020-05-05,KZN,244,1.06
2020-05-06,KZN,246,1.01
2020-05-07,KZN,247,0.91
2020-05-08,KZN,243,0.83
2020-05-09,KZN,237,0.78
2020-05-10,KZN,230,0.77
2020-05-11,KZN,222,0.81
2020-05-12,KZN,216,0.88
2020-05-13,KZN,213,0.96
2020-05-14,KZN,211,1.08
2020-05-15,KZN,214,1.18
2020-05-16,KZN,219,1.54
2020-03-13,WC,41,2.7
2020-03-14,WC,51,2.55
2020-03-15,WC,62,2.43
2020-03-16,WC,75,2.32
2020-03-17,WC,89,2.18
2020-03-18,WC,105,2.05
2020-03-19,WC,120,1.91
2020-03-20,WC,136,1.77
2020-03-21,WC,151,1.61
2020-03-22,WC,164,1.45
2020-03-23,WC,174,1.27
2020-03-24,WC,181,1.07
2020-03-25,WC,183,0.88
2020-03-26,WC,180,0.76
2020-03-27,WC,174,0.7
2020-03-28,WC,166,0.68
2020-03-29,WC,159,0.7
2020-03-30,WC,152,0.81
2020-03-31,WC,148,0.96
2020-04-01,WC,147,1.11
2020-04-02,WC,149,1.12
2020-04-03,WC,152,1.1
2020-04-04,WC,154,1.08
2020-04-05,WC,156,1.16
2020-04-06,WC,159,1.22
2020-04-07,WC,164,1.31
2020-04-08,WC,172,1.45
2020-04-09,WC,183,1.64
2020-04-10,WC,200,1.81
2020-04-11,WC,223,1.96
2020-04-12,WC,253,2.0
2020-04-13,WC,289,2.03
2020-04-14,WC,332,2.06
2020-04-15,WC,382,2.05
2020-04-16,WC,439,2.0
2020-04-17,WC,502,1.93
2020-04-18,WC,569,1.86
2020-04-19,WC,639,1.82
2020-04-20,WC,713,1.75
2020-04-21,WC,790,1.69
2020-04-22,WC,869,1.64
2020-04-23,WC,948,1.6
2020-04-24,WC,1029,1.6
2020-04-25,WC,1117,1.61
2020-04-26,WC,1215,1.59
2020-04-27,WC,1317,1.57
2020-04-28,WC,1425,1.55
2020-04-29,WC,1536,1.52
2020-04-30,WC,1651,1.52
2020-05-01,WC,1774,1.51
2020-05-02,WC,1902,1.49
2020-05-03,WC,2035,1.48
2020-05-04,WC,2175,1.5
2020-05-05,WC,2329,1.53
2020-05-06,WC,2505,1.55
2020-05-07,WC,2702,1.54
2020-05-08,WC,2910,1.51
2020-05-09,WC,3123,1.5
2020-05-10,WC,3345,1.48
2020-05-11,WC,3574,1.44
2020-05-12,WC,3797,1.39
2020-05-13,WC,4010,1.35
2020-05-14,WC,4213,1.36
2020-05-15,WC,4430,1.4
2020-05-16,WC,4680,1.47
2020-03-13,total,150,2.82
2020-03-14,total,189,2.74
2020-03-15,total,236,2.65
2020-03-16,total,291,2.54
2020-03-17,total,355,2.4
2020-03-18,total,426,2.25
2020-03-19,total,502,2.07
2020-03-20,total,579,1.88
2020-03-21,total,652,1.67
2020-03-22,total,714,1.43
2020-03-23,total,758,1.17
2020-03-24,total,776,0.92
2020-03-25,total,767,0.69
2020-03-26,total,733,0.47
2020-03-27,total,678,0.32
2020-03-28,total,612,0.28
2020-03-29,total,549,0.3
2020-03-30,total,494,0.46
2020-03-31,total,456,0.71
2020-04-01,total,437,0.99
2020-04-02,total,436,1.23
2020-04-03,total,451,1.39
2020-04-04,total,476,1.41
2020-04-05,total,504,1.47
2020-04-06,total,538,1.49
2020-04-07,total,576,1.51
2020-04-08,total,618,1.53
2020-04-09,total,664,1.57
2020-04-10,total,718,1.59
2020-04-11,total,778,1.59
2020-04-12,total,844,1.56
2020-04-13,total,912,1.53
2020-04-14,total,981,1.51
2020-04-15,total,1053,1.49
2020-04-16,total,1127,1.45
2020-04-17,total,1199,1.4
2020-04-18,total,1268,1.37
2020-04-19,total,1335,1.38
2020-04-20,total,1407,1.37
2020-04-21,total,1483,1.37
2020-04-22,total,1561,1.36
2020-04-23,total,1642,1.37
2020-04-24,total,1728,1.41
2020-04-25,total,1829,1.45
2020-04-26,total,1946,1.46
2020-04-27,total,2074,1.46
2020-04-28,total,2210,1.47
2020-04-29,total,2358,1.46
2020-04-30,total,2513,1.46
2020-05-01,total,2679,1.45
2020-05-02,total,2852,1.43
2020-05-03,total,3029,1.43
2020-05-04,total,3217,1.45
2020-05-05,total,3423,1.47
2020-05-06,total,3651,1.48
2020-05-07,total,3898,1.46
2020-05-08,total,4152,1.43
2020-05-09,total,4405,1.41
2020-05-10,total,4662,1.38
2020-05-11,total,4916,1.35
2020-05-12,total,5163,1.32
2020-05-13,total,5401,1.31
2020-05-14,total,5642,1.33
2020-05-15,total,5910,1.37
2020-05-16,total,6220,1.44
