date,location,infectives,mlrt,low,high
2020-04-04,GP,135.4,0.46,0.03,0.86
2020-04-05,GP,136.5,0.59,0.11,1.03
2020-04-06,GP,141.3,0.75,0.25,1.22
2020-04-07,GP,148.8,0.9,0.38,1.37
2020-04-08,GP,158.3,1.05,0.51,1.5
2020-04-09,GP,169.1,1.17,0.66,1.63
2020-04-10,GP,181.4,1.26,0.77,1.72
2020-04-11,GP,195.7,1.34,0.85,1.78
2020-04-12,GP,211.4,1.4,0.92,1.83
2020-04-13,GP,227.1,1.43,0.95,1.84
2020-04-14,GP,240.9,1.42,0.95,1.82
2020-04-15,GP,251.5,1.37,0.93,1.78
2020-04-16,GP,258.4,1.3,0.86,1.7
2020-04-17,GP,260.4,1.21,0.75,1.59
2020-04-18,GP,257.2,1.11,0.68,1.51
2020-04-19,GP,249.3,1.0,0.54,1.38
2020-04-20,GP,238.8,0.89,0.46,1.3
2020-04-21,GP,228.2,0.82,0.38,1.23
2020-04-22,GP,220.1,0.8,0.35,1.21
2020-04-23,GP,215.9,0.81,0.35,1.22
2020-04-24,GP,216.5,0.87,0.4,1.28
2020-04-25,GP,222.5,0.97,0.5,1.38
2020-04-26,GP,233.6,1.08,0.64,1.51
2020-04-27,GP,248.4,1.19,0.74,1.6
2020-04-28,GP,264.8,1.28,0.81,1.66
2020-04-29,GP,280.8,1.32,0.87,1.7
2020-04-30,GP,295.3,1.33,0.88,1.7
2020-05-01,GP,307.6,1.31,0.88,1.68
2020-05-02,GP,316.8,1.26,0.84,1.63
2020-05-03,GP,323.2,1.21,0.81,1.59
2020-05-04,GP,327.0,1.16,0.74,1.52
2020-05-05,GP,329.5,1.11,0.69,1.47
2020-05-06,GP,332.0,1.08,0.65,1.43
2020-05-07,GP,334.5,1.07,0.67,1.44
2020-05-08,GP,337.3,1.06,0.66,1.43
2020-05-09,GP,340.5,1.06,0.65,1.42
2020-05-10,GP,344.0,1.06,0.64,1.41
2020-05-11,GP,347.8,1.06,0.64,1.41
2020-05-12,GP,351.5,1.06,0.66,1.42
2020-05-13,GP,355.4,1.06,0.66,1.42
2020-05-14,GP,361.0,1.08,0.67,1.43
2020-05-15,GP,370.6,1.12,0.73,1.48
2020-05-16,GP,387.3,1.19,0.78,1.53
2020-05-17,GP,414.5,1.3,0.89,1.63
2020-05-18,GP,454.4,1.44,1.05,1.77
2020-05-19,GP,508.7,1.59,1.24,1.93
2020-05-20,GP,576.6,1.72,1.36,2.03
2020-05-21,GP,656.7,1.81,1.46,2.1
2020-05-22,GP,745.4,1.85,1.52,2.13
